"where_name","who_name","who_type","who_x","who_y","who_message"
"魔之谷","边境接引人","NPC","158","194","仙魔边境很危险，我这可以直接到天之涯，安全第一啊。"
"魔之谷","试炼小妖","怪",,,
"魔界","副本使者","NPC","168","163","我身上有10个副本，你爱去哪个去哪个。"
"魔界","土地公","NPC","292","188","好吧，他们都跑去修炼了，偏偏叫我做个小小的城管，郁闷。"
"魔界","接引仙童","NPC","223","101","想去北天庭和门派找我就对了。"
"魔界","竞技使者","NPC","173","293","听说斗法大会和仙魔大战的等级分段会根据服务器的进度而变化啊。"
"魔界","装备商","NPC","241","353","我已经在这里站了好久了，为什么就没人在我这买装备呢？我要改革！"
"魔界","道具商","NPC","255","247","做生意要有头脑，你看我旁边那个傻装备商，那么菜的装备，谁会买啊。"
"魔界","镖师","NPC","387","230","老总为什么要在这地方开分店，这里的人都这么强。"
"魔界","魔界长老","NPC","124","228","不知道修仙这种修炼方式感觉如何，向往啊。"
"北天庭","千里眼","NPC","277","138","降妖除魔是每个修仙之人应尽的义务。"
"北天庭","合成使者","NPC","88","179","幻化万物，无所不能。我就是合成使者！"
"北天庭","大罗金仙","NPC","74","465","不久前，有人发现了一条空间裂缝，里面通往恐怖的无尽星空！里面的生物特别强大，天庭派我把守入口，防止他人误入！"
"北天庭","接引仙童","NPC","223","405","眼睛一闭一睁，就到了！"
"北天庭","曹总管","NPC","80","370","我是宗派大总管，有宗派事务请找我！"
"北天庭","月老","NPC","468","236","哎，老人家我爱喝酒，一喝酒就乱连线，于是人间就有了断袖！"
"北天庭","活动大使","NPC","192","183","我就是人见人爱，花见花开的仙界第一美女：活动仙子……的爷爷！"
"北天庭","福地大使","NPC","372","391","身为福地大使，我怎么可能没有好东西呢？"
"北天庭","装备使者","NPC","180","85","想要装备合成吗？找我准没错！"
"北天庭","阵地管理员","NPC","175","328","我现在没有什么可对你说。"
"北天庭","顺风耳","NPC","230","243","想要得到宝图，必须要找到藏宝图的江洋大盗。"
"天上人间","李师师","NPC","175","315","这位恩客，让奴家弹奏一曲为您解乏吧！"
"天上人间","李香君","NPC","77","80","一把桃花扇，两眼泪花闪。我到哪找一个爱我，对我不离不弃的人呢。"
"天上人间","柳如是","NPC","372","103","我见青山多妩媚，料青山见我应如是，人生在世，又岂能事事如是。"
"天上人间","苏小小","NPC","478","168","西湖真是个好地方呢，将来就算埋骨此地也不失为一个好归宿吧。"
"天上人间","鱼玄机","NPC","369","349","易求无价宝，难得有心郎。官人，您对什么有心就去追逐吧！解放您的本性！"
"天之涯","上古战场专员","NPC","102","173","上古战场有着神奇的结界，在89级上限开启之前，只有天罡地煞才能进入。"
"天之涯","命魂神魂使者","NPC","154","239","当服务器上限达到89级和99级的时候，我这里有2个新功能哦。"
"天之涯","跨服联赛专员","NPC","80","409","当服务器上限达到89级的时候，本服将拥有跨服联赛的资格，到时请顶级高手都来找到。"
"天之涯","边境接引人","NPC","290","140","你要去往仙魔边境么，要小心啊，很危险的。"
"天之涯","飞升指导员","NPC","379","394","修炼的人一生可以飞升两次，分别在89和99级的时候。"
"天之涯","高级功能大师","NPC","193","103","高级功能都在我这，找我准没错。"
"牢房","牢头","NPC","72","281","小样，贿赂我是没用的，踏踏实实待在这里，累计坐满100分钟牢，就减少你一点邪恶值。"
"宗派","仓库主管","NPC","203","228","仓库的等级越高，宗派维护的时候增加的资材就越多！"
"宗派","城墙主管","NPC","271","325","我就是负责宗派防卫的大侠！"
"宗派","大殿主管","NPC","400","71","宗派大殿是宗派最重要的建筑，它决定了宗派的等级！"
"宗派","密室主管","NPC","221","76","密室是开放给宗派里的佼佼者学习宗派技能的地方！"
"宗派","战争指挥使","NPC","143","427","佛曰：适量的争斗有利于增加实战经验，对将来的大战有好处！我的责任就是管理大家的战争，让战争有序进行！"
"宗派","药房主管","NPC","136","124","药房的等级越高，宗派维护的时候将会刷出更多的药品！"
"宗派","金库主管","NPC","103","230","金库的等级越高，宗派能够容纳的资金就越多！"
"宗派","高级宗派功能","NPC","403","257","我这里负责管理5级，6级宗派的高级功能。"
"无尽星空","飘来飘去","怪",,,
"迷失之地","灰来灰去","怪",,,
"广寒宫","嫦娥","NPC","266","66","论姿色，谁能比得上我。哎，怎么就这么美呢，烦死了。"
"广寒宫","接引仙童","NPC","380","216","眼睛一闭一睁，就到了！"
"玄霄殿","二郎神","NPC","52","107","没有对手的日子台寂寞了。"
"玄霄殿","接引仙童","NPC","268","98","眼睛一闭一睁，就到了！"
"盘丝洞","接引仙童","NPC","312","241","眼睛一闭一睁，就到了！"
"盘丝洞","紫霞仙子","NPC","168","259","死猴子，今夜你会不会回来？"
"雷音寺","唐僧","NPC","229","151","时间如水，岁月如梭，女儿国国王现在怎么样了？"
"雷音寺","接引仙童","NPC","159","281","眼睛一闭一睁，就到了！"
"清水村","兰采和","NPC","230","157","采姑娘的小蘑菇，背着一个大竹筐。"
"清水村","太白金星","NPC","327","111","神仙其实也是人，只不过做到了人做不到的事情，所以就成了神。"
"清水村","宝箱","NPC","217","295","偷偷的告诉你一个秘密，其实我里面装的宝物还没有我值钱！"
"清水村","扁鹊","NPC","101","67","这一副药吃下去，是生是死我也不知道。"
"清水村","欧治子","NPC","205","78","欢迎光临欧治子全国连锁，质量上乘，型号齐全！即日起接受批发零售，欢迎来函或飞鸽传书！"
"清水村","湘玉姐","NPC","61","115","我是一个有素质，有内涵的寡妇。"
"清水村","山贼","怪",,,
"清水村","炽焰狼王","怪",,,
"清水村野外","樵夫","NPC","280","142","有缘千里来相会，无缘对面手难牵……"
"清水村野外","酒仙","NPC","104","345","我没醉，我没醉，你不必同情我！"
"清水村野外","狐妖","怪",,,
"清水村野外","花妖","怪",,,
"三清山下","三圣母","NPC","332","58","郎啊，咱们两是一家亲呐！"
"三清山下","三清上人","NPC","108","250","秃驴，不要跟贫道抢师太！"
"三清山下","刘彦昌","NPC","395","157","娘子！你不要离开我啊，娘子！"
"三清山下","霸天","NPC","358","300","来啊！打我啊！笨蛋！"
"三清山下","土匪","怪",,,
"三清山下","山贼","怪",,,
"隐龙镇","何仙姑","NPC","335","101","你看的出，我有几岁吗？"
"隐龙镇","姜子牙","NPC","92","302","我姜子牙钓鱼，愿者上钩，吼吼吼……"
"隐龙镇","师徒使者","NPC","187","216","来瞧一瞧看一看啦，牛逼师傅找徒弟，犀利徒弟求师傅啦！"
"隐龙镇","接引仙童","NPC","257","319","眼睛一闭一睁，就到了！"
"隐龙镇","隐龙镇装备商","NPC","291","238","来一来，看一看了啊！"
"隐龙镇","隐龙镇道具商","NPC","388","226","走过路过，千万别错过！"
"隐龙镇","龙不醉","NPC","142","155","我的酒量，无人能敌！"
"隐龙镇","龙孽","NPC","88","219","我们都是龙的传人！"
"隐龙东郊","叶公","NPC","111","262","这辈子最大的愿望，就是能见到龙啊！"
"隐龙东郊","虫鸣","NPC","73","190","这天气，怎么这么热？"
"隐龙东郊","妖艳蝶妖","怪",,,
"隐龙东郊","蝶妖","怪",,,
"隐龙密林","上古树妖","NPC","157","110","看……看……看你妹啊，找……找……找抽呢！"
"隐龙密林","虫吱","NPC","86","304","吱吱吱……"
"隐龙密林","虫吼","NPC","351","306","吼吼吼……"
"隐龙密林","树妖","怪",,,
"隐龙坡","蛟龙将军","NPC","239","93","一个人的时候，不是不想你……"
"隐龙坡","黑熊精","NPC","333","380","大王派我来巡山嘞，锵锵锵……锵锵锵……"
"隐龙坡","山精","怪",,,
"隐龙坡","黑竹精","怪",,,
"隐龙谷","敖广","NPC","53","71","我老了，未来都是你们年轻人的啦！"
"隐龙谷","龙小妹","NPC","265","327","老鼠，老虎，傻傻的不清楚……"
"隐龙谷","土鼠","怪",,,
"隐龙谷","玄蛇","怪",,,
"隐龙码头","活佛","NPC","276","160","施主，打发点咯！"
"隐龙码头","船夫","NPC","192","229","遍地的虾兵蟹将，叫我怎么打渔啊！"
"隐龙码头","河蟹","怪",,,
"隐龙码头","虾兵小将","怪",,,
"蓬莱岛东","副本使者","NPC","255","332","副本可是打宝的好地方噢！"
"蓬莱岛东","土地公","NPC","171","256","天呐，你真高！"
"蓬莱岛东","接引仙童","NPC","77","120","眼睛一闭一睁，就到了！"
"蓬莱岛东","竞技使者","NPC","65","245","竞技场中死亡不算正常死亡，原地复活。"
"蓬莱岛东","蓬莱岛装备商","NPC","260","133","来一来，看一看了啊！"
"蓬莱岛东","蓬莱岛道具商","NPC","169","86","走过路过，千万别错过！"
"蓬莱岛东","镖师","NPC","307","211","黑道白道我们都有人，找我们准没错！"
"蓬莱岛西","吕洞宾","NPC","296","112","我的牡丹仙子，你究竟在何方？"
"蓬莱岛西","天蓬元帅","NPC","79","91","今年的情人节，是和嫦娥过？还是和高小姐过？"
"蓬莱岛西","张果老","NPC","84","196","我有一头小毛驴，我从来也不骑……"
"蓬莱岛西","铁拐李","NPC","200","81","你不认识我？老子人称跛子王！"
"蓬莱岛西","黄岛主","NPC","209","232","欢迎光临蓬莱岛！"
"蓬莱北郊","天竺商人","NPC","241","316","天上有之牛在飞，一定是我在地上吹。"
"蓬莱北郊","强盗老大","NPC","84","98","站住！打劫脚底板！"
"蓬莱北郊","豆腐西施","NPC","336","183","你是来找乐子，还是来办正事？"
"蓬莱北郊","强盗","怪",,,
"蓬莱北郊","百步蛇","怪",,,
"蓬莱阁","宁书生","NPC","140","77","关关雎鸠，在河之洲。窈窕淑女，君子好逑……"
"蓬莱阁","渔翁","NPC","101","279","这年头，鱼是越来越难钓了。"
"蓬莱阁","青衣卫士","NPC","358","230","一棵呀小白杨，站在高岗上……"
"蓬莱阁","水贼","怪",,,
"蓬莱阁","海贼","怪",,,
"蓬莱阁","食人鱼","怪",,,
"流波山","二狗子","NPC","296","270","我的娘子怎么还没有回来啊？"
"流波山","狐狸精","NPC","61","313","作为一个美女，我的确很有压力。"
"流波山","紫衣卫士","NPC","263","136","在这里鬼鬼祟祟做什么呢？没事赶紧走！"
"流波山","狐狸","怪",,,
"碧游洞一层","人形蛇妖","NPC","29","215","老娘对你没兴趣，回去再找几个人来吧。"
"碧游洞一层","美女娘子","NPC","406","302","我和二狗子那些不得不说的故事，想知道么？"
"碧游洞一层","银狐","NPC","386","240","我现在没有什么可对你说"
"碧游洞一层","骷髅","NPC","294","55","咦？我还有块骨头呢，扔哪去了？"
"碧游洞一层","七步蛇","怪",,,
"碧游洞一层","百步蛇","怪",,,
"碧游洞二层","勇士","NPC","351","257","这里还真是恐怖啊，感觉到了没？"
"碧游洞二层","石像","NPC","384","106","你是谁？"
"碧游洞二层","石棺","NPC","94","289","作为一个有思想有灵魂有追求的三有好石棺，我不屑和你说话！"
"碧游洞二层","蝙蝠魔","NPC","219","53","哇噢，我闻到新鲜血液的味道了、"
"碧游洞二层","剧毒蝙蝠","怪",,,
"望月城东","副本使者","NPC","287","365","副本可是打宝的好地方噢！"
"望月城东","接引仙童","NPC","76","351","眼睛一闭一睁，就到了！"
"望月城东","望月城装备商","NPC","73","215","来一来，看一看了啊！"
"望月城东","竞技使者","NPC","312","119","竞技场中死亡不算正常死亡，原地复活。"
"望月城东","镖师","NPC","174","256","黑道白道我们都有人，找我们准没错！"
"望月城东","土地公","怪","327","271","天呐，你真高！"
"望月城东","望月城道具商","怪","418","379","走过路过，千万别错过！"
"望月城西","慈母","NPC","44","280","我家的儿媳妇是这个世界上醉善良的人了。"
"望月城西","无赖","NPC","303","219","看过砂锅大的拳头吗？"
"望月城西","望月城主","NPC","149","329","望月城欢迎您！"
"望月城西","钟馗","NPC","150","145","其实，有时候人比鬼更可怕！"
"望月城郊","剑毛鼠","NPC","106","114","吱吱吱……"
"望月城郊","茅山道士","NPC","289","299","其实，我是卧底，嘘……"
"望月城郊","饥饿的村民","NPC","319","138","水……我要喝水……"
"望月城郊","鼠妖","怪",,,
"万剑石林","剑一","NPC","33","232","行走江湖，难免会打打杀杀。"
"万剑石林","剑冢","NPC","338","165","绝世好剑啊，你在哪里啊？"
"万剑石林","藏剑妖僧","NPC","335","251","年轻人，来加入我们教会吧，前途无量噢。"
"万剑石林","妖僧","怪",,,
"揽湖古道","吴刚","NPC","324","91","嫦娥，我的心里只有你没有她！"
"揽湖古道","情花妖","怪",,,
"揽湖古道","酒壶小妖","怪",,,
"龙首崖","周处","NPC","185","286","猎龙，要的是智慧和胆量。"
"龙首崖","宠物龙","NPC","145","71","哔哔，哔哔……"
"龙首崖","恶龙","NPC","185","286","嗷嗷嗷……"
"龙首崖","驯龙新手","NPC","165","93","请不要鄙视一个新手。"
"龙首崖","飞龙","怪",,,
"月邪洞一层","柳琵琶","NPC","39","380","跟我斗！怎么说姐姐以前是跟妲己混的。"
"月邪洞一层","比干","NPC","361","280","想不到，劝柳琵琶从善这么难。"
"月邪洞一层","琵琶精","NPC","41","207","想听我弹一首琵琶曲吗？"
"月邪洞一层","琵琶小妖","怪",,,
"月邪洞二层","六尾狐","NPC","128","257","啧啧，美味的人肉哇……"
"月邪洞二层","张无赖","NPC","25","200","苏美娘可真是人间尤物啊，哈哈哈……"
"月邪洞二层","苏美娘","NPC","356","64","这里是什么地方？我怎么会在这里？"
"月邪洞二层","三尾狐","怪",,,
"黑河镇北","小二哥","NPC","168","85","我这可都是好酒啊，一杯开胃，两杯肾不亏，喝了三杯五杯，保证你脸色红润气色好啊！"
"黑河镇北","村中守卫","NPC","218","205","我会留下来，保护我的家园！"
"黑河镇北","村长","NPC","317","138","哎，到处都是僵尸，这镇子恐怕是呆不下去了。"
"黑河镇北","棺材店老板","NPC","185","238","棺材都卖到脱销，老板赶紧为自己定一口吧。"
"黑河镇北","药材商人","NPC","311","241","药材越来越少，僵尸越来越多，这样下去不是办法啊！"
"黑河镇南","副本使者","NPC","288","273","副本可是打宝的好地方噢！"
"黑河镇南","土地公","NPC","372","185","天呐，你真高！"
"黑河镇南","接引仙童","NPC","282","95","眼睛一闭一睁，就到了！"
"黑河镇南","竞技使者","NPC","199","216","竞技场中死亡不算正常死亡，原地复活。"
"黑河镇南","镖师","NPC","84","121","黑道白道我们都有人，找我们准没错！"
"黑河镇南","黑河镇装备商","NPC","89","342","来一来，看一看了啊！"
"黑河镇南","黑河镇道具商","NPC","298","424","走过路过，千万别错过！"
"黑河南郊","僵尸守卫","NPC","107","173","血！我要血！"
"黑河南郊","受伤的卫兵","NPC","197","75","快……快……快救我，我被僵尸咬到了。"
"黑河南郊","失踪的村民","NPC","152","332","来人呐，救命呐！"
"黑河南郊","僵尸","怪",,,
"黑河南郊","感染的村民","怪",,,
"乱坟岗","武大郎","NPC","299","90","做饼做的好好的，怎么被扔到这个鬼地方了！"
"乱坟岗","淮南王","NPC","392","213","你们这些蝼蚁，我才是这个世界的统治者！"
"乱坟岗","盗墓贼老三","NPC","149","263","老大和老二怎么还不回来？"
"乱坟岗","小鬼","怪",,,
"乱坟岗","活死人","怪",,,
"冰封古道","被冰冻的人","NPC","130","114","谁能告诉我，我怎样才能够出去？"
"冰封古道","冰妖","怪",,,
"冰封古道","冰封结界","怪",,,
"孽石洞一层","白骨妖","NPC","76","355","亲爱的，你觉得我美吗？"
"孽石洞一层","白骨精","NPC","67","138","你看我美吗？"
"孽石洞一层","盗墓贼老二","NPC","297","345","老大和老三怎么还不回来？"
"孽石洞一层","骷髅兵","怪",,,
"孽石洞二层","刑天","NPC","109","390","没事别打扰我睡觉！"
"孽石洞二层","盗墓贼老大","NPC","42","315","哇，这里肯定有很多的宝藏！"
"孽石洞二层","石棺","NPC","195","407","作为一个有思想有灵魂有追求的三有好石棺，我不屑和你说话！"
"孽石洞二层","腐蚀虫","怪",,,
"孽缘潭","卫兵","NPC","182","214","这里好恐怖，什么时候能回家？"
"孽缘潭","守卫","NPC","18","171","闲杂人等，一律不能进入这里！"
"孽缘潭","恶灵","NPC","403","313","关在这里这么久，好无聊啊！"
"孽缘潭","凶灵","怪",,,
"万劫城北","三哥","NPC","277","313","我大的妹妹四娘，就是脾气大了点。"
"万劫城北","后羿","NPC","62","332","整天看到圆的东西就想拿弓射，职业病啊！"
"万劫城北","四娘","NPC","286","232","看什么看，我叫四娘，难道脸上真的有四吗？"
"万劫城北","城卫兵","NPC","169","246","跟着老大，有肉吃！"
"万劫城北","蚩尤","NPC","280","94","欢迎光临万劫城！"
"万劫城南","万劫城装备商","NPC","213","68","来一来，看一看了啊！"
"万劫城南","万劫城道具商","NPC","359","97","走过路过，千万别错过！"
"万劫城南","副本使者","NPC","182","322","副本可是打宝的好地方噢！"
"万劫城南","土地公","NPC","49","189","天呐，你真高！"
"万劫城南","接引仙童","NPC","366","179","眼睛一闭一睁，就到了！"
"万劫城南","竞技使者","NPC","159","209","竞技场中死亡不算正常死亡，原地复活。"
"万劫城南","镖师","NPC","350","302","黑道白道我们都有人，找我们准没错！"
"不冻河","村姑","NPC","32","313","我是耕田的！"
"不冻河","渔民","NPC","314","172","今天不宜出去捕鱼。"
"不冻河","水怪","怪",,,
"不冻河","鱼人","怪",,,
"刺骨之地","伏羲","NPC","23","272","年轻人，我吃的盐比你吃的米还多。"
"刺骨之地","酒仙","NPC","412","226","我喝过最好的酒，就是82年的拉菲。"
"刺骨之地","冰封霜狼","怪",,,
"刺骨之地","白熊","怪",,,
"地心迷宫一层","玄武","NPC","174","404","最近房价虚高，没钱买得起。连买个厕所板砖都不够，这个地方比高楼大厦舒服多了。"
"地心迷宫一层","音无","NPC","249","132","正在吵架中，勿扰！"
"地心迷宫一层","岩魔","怪",,,
"地心迷宫一层","石像鬼","怪",,,
"地心迷宫二层","朱雀","NPC","384","285","这世道，少走几步路就少几分凶险。"
"地心迷宫二层","花火","NPC","310","136","大梦谁先觉，平生我自知。"
"地心迷宫二层","火魔","怪",,,
"地心迷宫二层","熔岩怪","怪",,,
"地心迷宫底层","白虎","NPC","364","118","你是想上天还是要入地？"
"地心迷宫底层","饕餮","NPC","77","102","我知道把那些人都送走，却忘记了把他们送到什么地方。"
"地心迷宫底层","大鹏鸟","怪",,,
"雪崩峡谷","吟游诗人","NPC","295","214","保护环境，爱护野生动物，人人有责，虽然我没少吃。"
"雪崩峡谷","雪女","NPC","115","352","你能让我感受到炙热的温度。"
"雪崩峡谷","冰雪巨人","怪",,,
"雪崩峡谷","雪猿","怪",,,
"青屏原","炎帝","NPC","288","354","都说你们是我的炎黄子孙，我的压力好大啊！"
"青屏原","牧羊女","NPC","46","194","你认识我吗？《少林寺》里面我有客串过噢。"
"青屏原","青龙","NPC","87","378","这里一待就是万年，寂寞啊！"
"青屏原","凶兽","怪",,,
"青屏原","巨蟒","怪",,,
"剑冢峰东","剑冢峰装备商","NPC","251","114","来一来，看一看了啊！"
"剑冢峰东","剑冢峰道具商","NPC","130","113","走过路过，千万别错过！"
"剑冢峰东","副本使者","NPC","318","138","副本可是打宝的好地方噢！"
"剑冢峰东","土地公","NPC","287","244","天呐，你真高！"
"剑冢峰东","接引仙童","NPC","127","282","眼睛一闭一睁，就到了！"
"剑冢峰东","竞技使者","NPC","126","208","竞技场中死亡不算正常死亡，原地复活。"
"剑冢峰东","镖师","NPC","250","367","黑道白道我们都有人，找我们准没错！"
"剑冢峰西","剑痴","NPC","405","310","要比武器锋利，最方便的无非是找个靶子，大家一人砍上一剑，看看谁砍的深！"
"剑冢峰西","轩辕","NPC","241","273","必有力气在手，才能斩妖除魔！"
"剑冢峰西","铸剑师","NPC","361","73","人帅不帅看脸蛋，嗓门大不大看声线，功夫高不高看武器！"
"剑冢峰西","雷震子","NPC","43","310","九天神雷啊，九天神雷……"
"镇魔宫","剑魔","NPC","126","267","剑魔只是一个名字而已，其实我就是一个死跑龙套的。"
"镇魔宫","天鬼皇","NPC","65","125","我当年带领群妖逃离锁妖塔，就一直待在这里。"
"镇魔宫","李天王","NPC","403","210","谁都逃不出我的七宝玲珑塔。"
"镇魔宫","句芒","怪",,,
"镇魔宫","流萤","怪",,,
"摩天崖","天上老君","NPC","386","140","炼丹这事，需要良好的心态。"
"摩天崖","酒剑仙","NPC","179","238","御剑乘风来，除魔天地间。有酒乐逍遥，无酒我亦癫。一饮尽江河，再饮吞日月。千杯醉不倒，唯我酒剑仙。"
"摩天崖","风邪兽","NPC","32","199","吼吼吼……"
"摩天崖","火炉妖","怪",,,
"摩天崖","烬枝","怪",,,
"问剑台","占卜婆婆","NPC","126","359","我能替别人占卜，却不能给自己占卜，哎……"
"问剑台","怒剑魂","NPC","357","235","我记得我生前不是这副德行的，为什么现在变成了这样！"
"问剑台","武剑仙","NPC","201","204","高手总是寂寞的，独孤求败，独孤求败啊！"
"问剑台","邪灵怪","怪",,,
"练剑池","干将","NPC","177","277","我和莫邪要一生一世再一起，永远不会分开。"
"练剑池","碧痕","NPC","65","210","想调戏我们这些昔日黄花？你还是省着点吧！"
"练剑池","莫邪","NPC","315","181","你看干将无论什么动作，都那么有型。"
"练剑池","衔烛之龙","NPC","210","66","要记住，善恶只在一瞬间！"
"练剑池","小雪妖","怪",,,
"练剑池","血妖","怪",,,
"幽冥谷","剑十三","NPC","203","329","用剑的最高境界，就是人剑合一！"
"幽冥谷","邪灵","NPC","330","200","其实我的心里只有她。"
"幽冥谷","魁兆","NPC","136","180","既来了这里，就不要离开了！"
"幽冥谷","冥火","怪",,,
"幽冥谷","幽魂","怪",,,
"兰若寺","傀儡术士","NPC","345","155","嘿嘿嘿……把你的生命交给我如何？"
"兰若寺","宁采臣","NPC","52","345","小倩，你在哪里啊？小倩……"
"兰若寺","招魂幡","NPC","29","189","呼呼……"
"兰若寺","鬼娘","NPC","282","342","我和我的孩子死后，就一直待在这里。"
"兰若寺","魅魔","怪",,,
"阎罗殿主殿","副本使者","NPC","248","247","副本可是打宝的好地方噢！"
"阎罗殿主殿","接引仙童","NPC","328","168","眼睛一闭一睁，就到了！"
"阎罗殿主殿","竞技使者","NPC","296","392","竞技场中死亡不算正常死亡，原地复活。"
"阎罗殿主殿","镖师","NPC","163","83","黑道白道我们都有人，找我们准没错！"
"阎罗殿主殿","阎罗殿装备商","NPC","120","233","来一来，看一看了啊！"
"阎罗殿主殿","阎罗殿道具商","NPC","74","278","走过路过，千万别错过！"
"阎罗殿主殿","土地公","怪","178","163","天呐，你真高！"
"阎罗殿偏","楚江王","NPC","170","231","别看这儿小鬼多，他们也都经历了海选才挑出来的。"
"阎罗殿偏","白无常","NPC","279","469","有钱能使磨推鬼，嘿嘿……"
"阎罗殿偏","转轮王","NPC","391","168","财可通三界，失却不复还！"
"阎罗殿偏","阎罗王","NPC","363","313","每天都要审批生死簿，好想请年假啊！"
"阎罗殿偏","黑无常","NPC","396","474","想要再地府过上好日子，得先孝敬孝敬我们。"
"鬼门关","牛头","NPC","136","327","马兄的脾气就是这么的火爆，这样不好……不好！"
"鬼门关","秦广王","NPC","393","231","地府现在是一团糟啊，哎……"
"鬼门关","马面","NPC","217","328","看什么看？老子的脸就这么长，不爽啊！"
"鬼门关","亡灵","怪",,,
"鬼门关","冤魂","怪",,,
"黄泉路","小鬼","NPC","200","164","当年小倩姐对我有恩，我必须要帮她脱离魔爪！"
"黄泉路","秦桧","NPC","408","232","当年我陷害岳飞，如今已被万人唾弃，我后悔啊！"
"黄泉路","聂小倩","NPC","138","230","怎么办？姥姥和黑山老妖快追过来了，不知道宁采臣有没有危险？"
"黄泉路","西门庆","NPC","88","313","潘金莲，我们来世再见了。"
"黄泉路","孤魂","怪",,,
"黄泉路","野鬼","怪",,,
"忘忧河","孟姜女","NPC",,,
"忘忧河","鬼船夫","NPC","263","53","只有我才能带你通过奈何桥。"
"忘忧河","尸鬼","怪",,"297",
"忘忧河","怨灵","怪",,,
"奈何桥","不悔","NPC","114","126","为什么等了百年，他还是没有来？"
"奈何桥","孟婆","NPC","181","126","喝下孟婆汤，什么都可以忘记，不是很好的选择吗？"
"奈何桥","水鬼","怪",,,
"奈何桥","食尸鬼","怪",,,
"望乡台","屈原","NPC","137","347","明年的端午节，我不想吃粽子了，麻烦送汉堡给我吃吧。"
"望乡台","钟馗","NPC","297","105","哟，又见面了啊，混得不错嘛。"
"望乡台","嗜血妖","怪",,,
"望乡台","嗜血魔","怪",,,
"轮回谷","共工","NPC","226","204","宁愿相信世间有鬼，也不相信女人那张破嘴！"
"轮回谷","祝融","NPC","330","441","不要看我的外表很粗犷，其实我的内心很温柔的！"
"轮回谷","血蝶","怪",,,
"轮回谷","黑血怪","怪",,,
"炼狱血池","人魔","NPC","374","157","每场战斗都是非常有乐趣的。爱战斗，爱生活！"
"炼狱血池","天魔","NPC","211","239","天堂有路你不走，地狱无门你闯进来。"
"炼狱血池","疯魔","NPC","85","188","苍天可鉴，今天总算可以吃顿饱饭了！"
"炼狱血池","血魔","NPC","157","61","你们送死来的太是时候了！"
